method,year,catalog_task,model_family,published_signal,code_signal,representative_use,hypersca_relevance,risk_note,recommended_action
"cPCA; PCPCA; cLVM; cVAE","2018-2024","Contrastive Disentanglement","contrastive PCA/VAE; factor models","published","code available","Case-control latent factors and condition-specific variation","Useful for ICB response and platform contrast diagnostics","Contrastive factors are not automatically causal mechanisms","Use as diagnostic support for niche/context contrasts"
"ContrastiveVI; ContrastiveVI+; scDisInFact; scDSA","2023-2024","Contrastive Disentanglement","ZINB VAE; adversarial/domain disentanglement","published","code available/mixed","Perturbation or condition-specific latent separation","Relates to HyperSCA z_int/z_ext disentanglement","Disentanglement identifiability needs strong assumptions","Use in representation audit, not as proof of mechanism"
"AUGUR; CellDrift; Memento; MiloDE","2020-2024","Differential Analysis","classifier; GLM/NB; latent embedding regression; temporal perturbation interactions","published","code available","Differential response and alteration quantification","Provides descriptive baseline for candidate discovery","Descriptive differential signal does not identify causal direction","Include as baseline evidence channel"
"SCEPTRE; scMAGeCK; Mixscale; Perturbation Score","2020-2025","Differential Analysis","conditional resampling; robust rank aggregation; perturbation efficacy weighting","published","code available","Perturb-seq effect testing and intervention efficacy handling","Useful for future perturbation benchmark and wet-lab data ingestion","Guide efficiency and escape cells can bias response calls","Use for perturbation QC when interventional data are added"
"Taichi; River; Vespucci; scDIST","2024-2025","Differential Analysis","spatial classifier; GLM; feature attribution","published/mixed","code mixed","Spatially coherent differential regions or genes","Relevant to spatial response and niche affected-region scoring","Spatial association can reflect composition rather than intervention response","Use as spatial differential baseline"
"Hotspot; MISTy","2021-2022","Feature Relationships","autocorrelation; random forest multi-view spatial modeling","published","code available","Local gene-gene and niche feature relationships","Supports spatial feature relationship audit","Association does not imply causal communication","Report as associative support only"
"SpaCeNet; Kasumi; Celcomen","2024-2025","Feature Relationships","Gaussian graphical model; convolution; k-hop spatial modeling","published","code available","Spatial molecular association and neighborhood effects","Can benchmark HyperSCA spatial graph/adjacency signals","May be sensitive to neighborhood definition and platform resolution","Use for spatial adjacency sensitivity analysis"
"CellOracle; Dictys; RENGE; RiTINI","2023-2024","GRN Inference","regression; OU/ODE; graph-ODE; time/CRISPR-informed GRN","published","code available","Directed regulatory network reconstruction","Supports stronger mechanism discovery around key TFs","Needs ATAC/time/perturbation constraints for credible direction","Add optional GRN prior when data support it"
"MOFA+; MEFISTO; STAMP","2020-2024","Linear Gene Programmes","group factor model; multimodal spatial/time-aware factorization","published","code available","Linear programmes across modalities, space or time","Useful for explainable niche programmes","Linear factors may miss nonlinear TME state structure","Use as interpretable programme baseline"
"NicheCompass; Spectra; VEGA; scETM","2021-2024","Linear Gene Programmes","graph VAE/linear decoder; pathway-informed factors; topic model","published","code available","Pathway or niche-informed gene programme extraction","Directly relevant to Niche Ontology v1 and pathway-level reports","Prior-informed programmes can bias toward well-studied pathways","Use for optional pathway programme annotation"
"scVI; Expimap; DRVI","2018-2024","Nonlinear Gene Programmes","VAE/ZINB; additive decoder; disentangled representation","published","code available","Nonlinear latent cell state and gene programme modeling","Baseline for H-VAE representation quality","Nonlinear representation may capture confounding without controls","Benchmark against H-VAE with same splits"
"SIMVI; CellDISECT; GeneCompass; scGPT; scFoundation","2024-2025","Nonlinear Gene Programmes","spatial/multimodal VAE; mixture of experts; foundation models","published/mixed","code mixed","Spatially informed or foundation-level nonlinear programmes","Useful for spatial intrinsic/extrinsic comparison and adapter design","Heavy models and OOD instability; simple baselines needed","Use as optional adapter or external comparator"
"CPA; ChemCPA; Biolord; MultiCPA","2022-2024","Multi-component Disentanglement","autoencoder/VAE perturbation-context decomposition","published","code available","Separate perturbation, covariate and baseline latent components","Direct comparator to z_int/z_ext and latent KO","Latent component semantics can be weak without intervention labels","Use in disentanglement benchmark"
"SAMS-VAE; SENA; scCausalVI; SpatialDIVA","2023-2025","Multi-component Disentanglement","sparse mechanism shift; pathway-informed VAE; structural causal VAE; spatial VAE","published/mixed","code mixed","Mechanism-specific latent shifts and causal components","Informs future causal latent module","Identifiability depends on sparse mechanism assumptions","Use as design reference for future causal latent layer"
"MOFA+; MEFISTO; MuVi; Decipher","2020-2024","Unsupervised Disentanglement","factor model; multimodal VAE; linear decoder VAE","published/mixed","code mixed","Unsupervised latent factors and multimodal variation","Useful to detect hidden variation before causal claims","Unsupervised factors are not aligned to biological mechanisms by default","Use for confounder discovery diagnostics"
"CINEMA-OT; SIMVI; DRVI; sparseVAE; STAMP","2022-2025","Unsupervised Disentanglement","OT/ICA; spatial VAE; sparse VAE; graph encoder factor analysis","published","code available","Unsupervised separation of intrinsic/spatial/perturbation variation","Relevant to HyperSCA intrinsic/extrinsic split","Can produce plausible but non-identifiable factors","Use as sensitivity analysis"
"AUGUR; MELD; Mixscape; MUSIC","2019-2021","Perturbation Responsiveness","classifier; graph diffusion; mixture/LDA; topic model","published","code available","Identify responsive cell types, cells or programmes","Adds response strength evidence for target scoring","Responsiveness does not specify causal mechanism","Use as target evidence subscore"
"CINEMA-OT; CellOT; scRANK; Taichi; Vespucci","2023-2025","Perturbation Responsiveness","OT; network diffusion; spatial graph diffusion/classifier","published/mixed","code mixed","Spatial or network-aware perturbation responsiveness","Supports niche-level response scoring","OT/spatial signal may reflect composition effects","Use for spatial response validation"
"Dr.VAE; CellBox; Prescient; scPreGan","2019-2022","Seen Perturbation Prediction","VAE; ODE; diffusion; GAN","published","code available","Predict responses to perturbations or doses seen in training","Baseline for interpolation/dose response tasks","Seen perturbation performance may not imply unseen generalization","Use as lower-risk perturbation prediction baseline"
"scDisInFact; scELMo; trVAE; VCI; SENA","2020-2024","Seen Perturbation Prediction","VAE; text-expression embedding; causal VI","published/mixed","code mixed","Seen perturbation, dosage and context interpolation","Informs Step4 dose and context interpolation tests","Can conflate condition and batch effects","Evaluate with patient-held-out splits"
"GEARS; ChemCPA; PRNet; CODEX","2022-2024","Unseen Perturbation Prediction","GNN; chemical embeddings; DNN response predictor","published","code available","Predict novel perturbants not seen in training","Primary benchmark for unseen HyperSCA target ranking","External datasets may be non-spatial cell line screens","Use in perturbation benchmark with CRC/TME caveats"
"scGPT; scFoundation; GeneCompass; LLM+GP; C2S-Scale","2024-2025","Unseen Perturbation Prediction","foundation model; language/gene embeddings; GP","published/mixed","code mixed","Zero-shot or few-shot perturbation priors","Potential future adapter for cold-start targets","Foundation-model claims are benchmark-sensitive","Cache embeddings and compare against simple baselines"
"Waddington-OT; CoSpar; CellOT; CondOT","2019-2023","Trace Cell Populations","unbalanced OT; sparse OT; conditional OT","published","code available","Couple cell states across time, perturbation or context","Adds population-level transition view to Step3/Step4","OT mapping can be suboptimal for divergent populations","Build medium-term OT sidecar with uncertainty"
"moscot; MFM; MMFM; MioFlow; OT-CFM; SBALIGN; ARTEMIS","2022-2025","Trace Cell Populations","multiomics OT; flow matching; neural ODE; Schrödinger bridge","published","code available","Time/space/multiome population tracing and stochastic trajectories","Strong candidate for future tissue transition module","Computational cost and data requirements are high","Prototype on small niche-level latent space first"
